1695gorak	gorak on the boat	Ґорак на човні
breakvine	break vine	Розірви лозу
breathsoon	Breath incoming	Скоро подих
bringlighttomob	bring light to mob	Неси світло до моба
bringlighttoshadow	bring light to shadows	Неси світло до тіней
carefly	knocking back	Відкидання
catchballs	catch balls	Лови кулі
center	center	Центр
centerleft	go to center left	Іди в центр ліворуч
centerright	go to center right	Іди в центр праворуч
chainboss	chain boss	Прикуй боса
changecolor	change color	Зміни колір
changemoon	Change moon	Зміни місяць
changemt	switch tank	Зміна танка
changeplatform	change platform	Зміни платформу
changetarget	change target	Зміни ціль
chargemove	Charging, move	Ривок, рухайся
chargethroughbomb	aim charge through bomb	Спрямуй ривок крізь бомбу
checkhp	health warning!	Увага, здоров'я!
cleaner	cleaner	Прибиральник
cleave	Cleave	Розсічення
cntnuemove	keep moving	Продовжуй рух
coinyou	coin on you	Монета на тобі
colorchange	color switch	Зміна кольору
colorchangesoon	color switch soon	Скоро зміна кольору
com_go	GO GO GO	Вперед, вперед, вперед!
crowdcontrol	crowd control	Контролюй
crusher	Crusher	Трощитель
curseyou	curse on you	Прокляття на тобі
darknessyou	darkness on you	Темрява на тобі
dawncrystal	dawn crystal	Кристал світанку
debuffyou	debuff on you	Дебаф на тобі
defensive	Defensive	Захист
demolisher	Demolisher	Руйнівник
devotionaura	devotion aura	Аура відданості
di	di	Ді
didi	didi	Ді-ді
dispelboss	dispel boss	Знімай з боса
dispelnow	dispel	Розвіюй
dontmove	don't move	Не рухайся
dotyou	dot on you	Дот на тобі
doubleat	Thrash	Молотіння
dpshard	hard dps	ДПС на повну
dpsmore	more dps	Більше ДПС
dpsslow	slow dps	Повільніше ДПС
dpsstop	stop dps	Стоп ДПС
dragonnow	dragon out	Дракон вийшов
droptorch	drop torch	Кинь смолоскип
dshigh	Mortal Strike high	Багато стАків.
east	east	Схід
eggyou	egg on you	Яйце на тобі
end	The end	Кінець
energyhigh	Energy high	Багато енергії
enfeeblingroar	Enfeebling Roar	Ослаблюючий рик
engineercoming	Engineer coming	Іде інженер
enrage	enrage	Зніми лють.
enteringcombat	entering combat	Початок бою
entertainer	entertainer	Артист
failed	failed	Провал
farfromline	stay away from lines	Тримайся далі від ліній
fearsoon	fear incoming	Скоро страх
fearyou	fear on you	Страх на тобі
felinfusion	Fel Infusion on you	Вливання скверни на тобі
findclearvent	find clear vent	Знайди вільний отвір
findcrab	find crab	Знайди краба
finddragon	find dragon	Знайди дракона
findflamejet	find Flame Jet	Знайди вогняний струмінь
findhunter	find hunter	Знайди мисливця
findmc	mind control	Контроль розуму
findshadow	get inside the shadow	Сховайся в тіні
findshelter	find shelter	Знайди укриття
findshield	find shield	Знайди щит
findwolf	find wolf	Знайди вовка
firecallercoming	Fire Caller coming	Іде закликач вогню
firecircle	fire circle	Вогняне коло
firerun	Fire on you, Run	Вогонь на тобі, тікай
firewall	firewall	Стіна вогню
fixateyou	fixate on you	Фіксація на тобі
flamebelcher	Flamebelcher	Вогнеплюй
flamejet	Flame Jet	Вогняний струмінь
flameyou	flame on you	Полум'я на тобі
focusedchaosyou	Focused Chaos on you, run	Сфокусований хаос, тікай
forcenovacoming	force nova coming	Скоро силова хвиля
frenzy	frenzy	Шаленство
frontal	frontal	Фронтал
frontalyou	frontal on you	Фронтал на тобі
frontcenter	go to front center	Іди вперед у центр
frontleft	go to front left	Іди вперед ліворуч
frontright	go to front right	Іди вперед праворуч
frost	Frost	Мороз
frostyou	frost on you	Мороз на тобі
gather	stack	стАкнутись.
gatheritem	Gather Item	Підбери предмет
gathershare	Stack	Збирайтесь разом
getboned	get bone	Візьми кістку
getinyellowrunes	get in yellow runes	Стань у жовті руни
getknockedup	Get Knocked Upward	Підкидання
getupwind	Get upwind	Іди проти вітру
ghostsoon	spirit incoming	Скоро дух
giftofearth	Gift of Earth	Дар землі
gloomincoming	gloom incoming	Скоро морок
gloomyou	gloom on you	Морок на тобі
graspyou	grasp on you	Захват на тобі
greenmushroomcoming	green Mushroom coming	Скоро зелений гриб
greenyou	green on you	Зелений на тобі
group1	Group One	Група один
group2	Group Two	Група два
group3	Group Three	Група три
group4	Group Four	Група чотири
group5	Group Five	Група п'ять
harmonic	harmonic	Гармонія
healall	heal team	Лікуй команду
healfull	heal to full	Відлікуй до повного
helpdispel	dispel	Розвіюй.
helpkick	interrupt	Збий закляття.
helpme	Help	Допоможіть
helpme2	Help me	Допоможіть мені
helpsoak	help soak	Допоможи поглинути
helpspirit	help spirit	Допоможи з духом
holdingdeadlyorb	holding deadly orb	Тримаєш смертельну сферу
holdingorb	holding orb	Тримаєш сферу.
holdit	defensive	Тримайся
iceorbmove	ice orb, move	Крижана сфера, рухайся
incomingdebuff	incoming de-buff	Скоро дебаф
inhalegetinpuddle	inhale, get inside the puddle	Вдих, стань у калюжу
inktoshark	bring ink to shark	Неси чорнило до акули
interruptbyeye	interrupt by eye	Збий закляття оком.
interruptingshout	Interrupting Shout	Крик переривання
interruptsoon	ready to interrupt	Готуйся переривати
jumpinpit	Jump in Pit	Стрибай у яму
jumpnow	jump now	Стрибай зараз
justrun	run	Біжи
keepjump	keep jumping	Продовжуй стрибати
keepmove	keep moving	Продовжуй рухатись
kick1r	interrupt 1	Кік один
kick2r	interrupt 2	Кік два
kick3r	interrupt 3	Кік три
kick4r	interrupt 4	Кік чотири
kick5r	interrupt 5	Кік п'ять
kickcast	interrupt	Збий закляття.
kickorstopcast	kick or stop cast	Збий або зупини закляття.
killbigmob	Kill big add	Вбий великого ада
killmine	attack Crawler Mine	Атакуй міну
killmob	kill adds	Вбивай адів
killspirit	attack spirit	Атакуй духа
kite	kite	Кайть
laserrun	laser on you, run	Лазер на тобі, тікай
leapyou	leap on you	Стрибок на тобі
leavecenter	leave center	Залиш центр
leavemind	Leave Mind	Покинь розум
leavingcombat	leaving combat	Кінець бою
left	left	Ліворуч
lightinfusion	Light Infusion on you	Вливання світла на тобі
lightrifts	light rifts	Розломи світла
lightsoak	light soak	Поглинь світло
lightstorm	Lightning Storm	Буря блискавок
lightyou	light on you	Світло на тобі
lineapart	line apart	Лінія, розійдіться
linegather	line, gather	Лінія, зберіться
linesoon	link incoming	Скоро лінія
lineyou	line on you	Лінія на тобі
lowsanity	Low Sanity	Низький розсудок
markedfordeath	marked for death	Мітка смерті
markyou	mark on you	Мітка на тобі
mblue	move to blue	Іди на синій
mediumball	medium ball	Середня куля
melodic	melodic	Мелодія
meteorrun	Meteor, run!	Метеор, тікай!
mgreen	move to green	Іди на зелений
mm1	move to Star	Іди на зірку
mm2	move to Circle	Іди на коло
mm3	move to Diamond	Іди на ромб
mm4	move to Triangle	Іди на трикутник
mm5	move to Moon	Іди на місяць
mm6	move to Square	Іди на квадрат
mm7	move to Cross	Іди на хрест
mm8	move to Skull	Іди на череп
mobenough	energy full. stay away from adds.	Енергія повна, тримайся далі від адів
mobkill	kill adds	Вбивай адів
mobout	pull adds out	Витягни адів
mobsoon	adds coming	Скоро ади
morange	move to orange	Іди на помаранчевий
moveboss	Move Boss	Пересунь боса
movecenter	move to center	Рухайся в центр
moveleft	move left	Рухайся ліворуч
movemelee	move to melee	Іди в мілі
moveright	move right	Рухайся праворуч
movesoon	get moving	Рухайся
movetimebubble	Move to time bubble	Іди в бульбашку часу
movetoarrow	move to arrow	Іди до стріли
movetobeam	move to beam	Іди до променя
movetoboss	move to boss	Іди до боса
movetoegg	move to egg	Іди до яйця
movetofire	move to fire	Іди до вогню
movetoflamethrower	move to flamethrower	Іди до вогнемета
movetofrost	move to frost	Іди до морозу
movetojelly	move to jellyfish	Іди до медузи
movetomobs	move to mobs	Іди до мобів
movetopartner	move to partner	Іди до партнера
movetopillar	Move to Pillar	Іди до колони
movetopool	Move to Pool	Іди до калюжі
movetostatue	move to statue	Іди до статуї
movetotank	move to tank	Іди до танка
movetotendrils	move to tendrils	Іди до щупалець
movetoweb	move to web	Іди до павутиння
movetoyelloworb	move to yellow orb	Іди до жовтої сфери
mpurple	move to purple	Іди на фіолетовий
myellow	move to yellow	Іди на жовтий
negative	negative	Мінус
newmatrix	Matrix on you	Матриця на тобі
newportal	new portal	Новий портал
north	north	Північ
northeast	northeast	Північний схід
northwest	northwest	Північний захід
orangeyou	orange on you	Помаранчевий на тобі
orbrun	orb. run.	Сфера, тікай
orbsincoming	orbs incoming	Скоро сфери
otherin	player in	Гравець зайшов
otherout	player out	Гравець вийшов
paranoiayou	paranoia on you	Параноя на тобі
peaceaura	peace aura	Аура миру
pfive	phase five	П'ята фаза
pfour	phase 4	Четверта фаза
phasechange	phase change	Зміна фази
poisonyou	poison on you	Отрута на тобі
polarityshift	polarity shift	Зміна полярності
pone	Phase one	Перша фаза
poolyou	pool on you	Калюжа на тобі
positive	positive	Плюс
pthree	phase three	Третя фаза
ptran	Transition phase	Перехідна фаза
ptwo	phase two	Друга фаза
pullin	pulling in	Притягування
pulverize	Pulverize	Подрібнення
purpleyou	purple on you	Фіолетовий на тобі
pushbackincoming	pushback incoming	Скоро відштовхування
quake	Quake	Землетрус
rageyou	rage on you	Лють на тобі
raidsplit	raid split	Поділ рейду
range5	range five	Дистанція п'ять
readyrescue	Prepare rescue	Готуйся рятувати
redyou	red on you	Червоний на тобі
riftdispel	dispel near rift	Розвіюй біля розлому
riftyou	rift on you	Розлом на тобі
right	right	Праворуч
rollincoming	roll incoming	Скоро коток
runaway	run away	Тікай
runesincoming	runes incoming	Скоро руни
runeyou	rune on you	Руна на тобі
runin	run in	Забігай
runintofire	run into the fire	Біжи у вогонь
runout	run out	Вибігай
runoverflowers	run over the flowers	Пробіжи по квітах
runovermobs	run over mobs	Пробіжи по мобах
runtoedge	run to edge of room	Біжи до краю
runtotrap	move to trap	Іди до пастки
safenow	safe now	Тепер безпечно
scatter	spread	Розійдіться
scattersoon	spread soon	Скоро розходитись
screwup	You're a screw-up	Ти невдаха
securityguardcoming	Security Guard coming	Іде охоронець
seedyou	seed on you	Насіння на тобі
server	server	Офіціант
shadowrun	Shadow on you	Тінь на тобі, тікай
shadowyou	shadow on you	Тінь на тобі
shareone	group one share	Група один, діліть
sharetwo	group two share	Група два, діліть
shieldcharge	Shield Charge	Ривок зі щитом
shieldover	shield over	Щит зник
shockwave	shock wave	Ударна хвиля
shockyou	shock on you	Шок на тобі
silencesoon	silence soon	Скоро німота
silenceyou	silence on you	Німота на тобі
slagelementalcoming	Slag Elemental coming	Іде шлаковий елементаль
slamincoming	slam incoming	Скоро удар
slowyou	slow on you	Сповільнення на тобі
soakbeam	soak beam	Поглинь промінь
soakincoming	soak incoming	Скоро поглинання
soulcleave	Soul Cleave	Розсічення душі
south	south	Південь
southeast	southeast	Південний схід
southwest	southwest	Південний захід
sparktowater	Kite spark to water	Кайть іскру до води
spear	spear	Спис
specialsoon	special coming	Скоро спецатака
speedup	speed up	Прискорся
speedyou	speed on you	Прискорення на тобі
stackhigh	stack high	Багато стаків
stepring	step into the circles	Стань у кільця
stilldanger	danger danger	Небезпека, небезпека
stompsoon	quake soon	Скоро струс
stompstart	quake start	Струс почався
stopatk	stop attacking	Припини атакувати
stopattack	stop attacking	Припини атаку
stopcast	stop casting	Зупини каст
stopchargewithline	stop charge with line	Зупини ривок лінією
stopmove	stop moving	Зупинись
stunsoon	stun incoming	Скоро оглушення
stunyou	stun on you	Оглушення на тобі
sunderhigh	sunder high	Багато розколів
swapsoon	Swap Soon	Скоро зміна
switchphase	Switch Phase	Перемкни фазу
takedamage	take damage	Прийми шкоду
tankcombo	tank combo	Танкове комбо
tankheal	heal tank	Лікуй танка
targetchange	target change	Зміна цілі
targetyou	target you	Ціль на тобі
tauntboss	taunt boss	Таунт боса
telesoon	teleport incoming	Скоро телепорт
teleyou	teleport on you	Телепорт на тобі
thanks	Thanks	Дякую
throweyedebuff	throw eye to someone with debuff	Кинь око гравцю з дебафом
throweyehealer	throw eye to healer	Кинь око хілеру
throweyetank	throw eye to tank	Кинь око танку
tosscoming	toss coming	Скоро кидок
tossonyou	toss on you	Кидок на тобі
touchwhiteshrooms	touch white runes	Торкнись білих рун
toxic	Toxic	Токсичний
trannow	Tranquilizing Shot now	Транквілізатор зараз
transplague	Transfer Soul	Перенеси душу
transporter	Transporter	Транспортер
trapsincoming	traps incoming	Скоро пастки
turnaway	face away	Відвернись
useextraaction	use extra action	Використай додаткову дію
usegate	use gate	Використай браму
useitem	Use item	Використай предмет
uu	yours	Твоє
voidsoak	void soak	Поглинь порожнечу.
voidyou	void on you	Порожнеча на тобі
watchfeet	Watch your feet	Дивись під ноги
watchimpale	impale	Пронизування
watchorb	watch orb	Стеж за сферою
watchstep	watch your step	Дивись, куди стаєш
watchwave	watch wave	Стеж за хвилею
west	west	Захід
whirlwind	Whirlwind	Вихор
wrathaura	wrath aura	Аура гніву
wroughtchaosyou	Wrought Chaos on you, run	Хаос на тобі, тікай
wwsoon	Rushing Winds coming	Скоро буревій
yellowyou	yellow on you	Жовтий на тобі
count/1	one	Один
count/10	ten	Десять
count/11	eleven	Одинадцять
count/2	two	Два
count/3	three	Три
count/4	four	Чотири
count/5	five	П'ять
count/6	six	Шість
count/7	seven	Сім
count/8	eight	Вісім
count/9	nine	Дев'ять
Thogar/A1	lane 1 express	Колія один: експрес
Thogar/A14	lane 1 and 4 expresses	Колії один і чотири: експреси
Thogar/A2	lane 2 express	Колія два: експрес
Thogar/A23	lane 2 and 3 expresses	Колії два і три: експреси
Thogar/A3	lane 3 express	Колія три: експрес
Thogar/A4	lane 4 express	Колія чотири: експрес
Thogar/AX	random express	Випадковий експрес
Thogar/B1	lane 1 Reinforcements	Колія один: підкріплення
Thogar/B1E4	lane 1 Reinforcements and lane 4 Deforester	Колія один: підкріплення, колія чотири: лісоруб
Thogar/B2	lane 2 Reinforcements	Колія два: підкріплення
Thogar/B23	lane 2 and 3 Reinforcements	Колії два і три: підкріплення
Thogar/B2A4	lane 2 Reinforcements and lane 4 expresses	Колія два: підкріплення, колія чотири: експрес
Thogar/B2D3	lane 2 Reinforcements and lane 3 Man on Arms	Колія два: підкріплення, колія три: воїни
Thogar/B3	lane 3 Reinforcements	Колія три: підкріплення
Thogar/B4	lane 4 Reinforcements	Колія чотири: підкріплення
Thogar/BX	random Reinforcements	Випадкове підкріплення
Thogar/C1	lane 1 cannon	Колія один: гармата
Thogar/C14	lane 1 and 4 cannons	Колії один і чотири: гармати
Thogar/C1D4	lane 1 cannon and lane 4 Man On Arms	Колія один: гармата, колія чотири: воїни
Thogar/C2	lane 2 cannon	Колія два: гармата
Thogar/C3	lane 3 cannon	Колія три: гармата
Thogar/C4	lane 4 cannon	Колія чотири: гармата
Thogar/CX	random cannon	Випадкова гармата
Thogar/D1	lane 1 Man On Arms	Колія один: воїни
Thogar/D1C4	lane 1 Man On Arms and lane 4 cannon	Колія один: воїни, колія чотири: гармата
Thogar/D2	lane 2 Man On Arms	Колія два: воїни
Thogar/D2B3	lane 2 Man On Arms and lane 3 Reinforcements	Колія два: воїни, колія три: підкріплення
Thogar/D2C4	lane 2 Man on Arms and lane 4 cannon	Колія два: воїни, колія чотири: гармата
Thogar/D3	lane 3 Man On Arms	Колія три: воїни
Thogar/D4	lane 4 Man On Arms	Колія чотири: воїни
Thogar/DX	random Man On Arms	Випадкові воїни
Thogar/E1	lane 1 Deforester	Колія один: лісоруб
Thogar/E1A23	lane 1 Deforester. lane 2 and 3 expresses	Колія один: лісоруб, колії два і три: експреси
Thogar/E2	lane 2 Deforester	Колія два: лісоруб
Thogar/E23	lane 2 and 3 Deforester	Колії два і три: лісоруби
Thogar/E3	lane 3 Deforester	Колія три: лісоруб
Thogar/E4	lane 4 Deforester	Колія чотири: лісоруб
Thogar/F	3 Random Lanes	Три випадкові колії
