match	key	sent	heard	stress
0.92	debuffyou	Дебаф на тобі	дебав на тобі	д+е б+ав н+а тоб+і
0.92	eggyou	Яйце на тобі	єйце на тобі	+я й ц+е н+а тоб+і
0.92	helpdispel	Розвіюй	розвію	пр+о зв+іюй
0.92	helpkick	Збий закляття	збий закриття	зб+ийза кл+яття
0.92	kickcast	Збий закляття	збий закриття	зб+ийза кл+яття
0.92	leavemind	Покинь розум	поки він розум	п+оки йнь р+озум
0.92	movetostatue	Іди до статуї	іди достатоє	ід+и д+о ст+атує
0.93	breakchain	Розірви ланцюг	розір виланцюг	р+озір в+иленцюх
0.93	coinyou	Монета на тобі	монети на тобі	монет+е н+а тоб+і
0.93	movetobeam	Іди до променя	ійди до промання	ід+и д+о пр+омен+е
0.93	attackcannon	Атакуй гармату	атакую гармату	+а т+аку й гарм+ату
0.93	attmid	Атакуй в центрі	атакоі в центрі	ат+акуі в ц+ентрі
0.93	behindboss	За босом	забосом	заб+осом
0.93	flameyou	Полум'я на тобі	колум є на тобі	пол+ум’є н+а тоб+і
0.93	kick2r	Збий два	збийдве	зб+ийдва
0.93	mobout	Витягни ворогів	витягне ворогів	в+итяг н+е ворог+ів
0.93	specialsoon	Скоро спецатака	скоро споцаток	ск+оро сп+ецят+ака
0.94	findflamejet	Знайди вогняний струмінь	знайди вохняний струмін	зн+айди в+охняний струм+ін
0.94	helpspirit	Допоможи з духом	допоможе з духом	допом+оже з д+ухом
0.94	sharetwo	Група два, діліть	група два ділять	гр+упа дв+а д+ілять
0.94	shareone	Група один, діліть	група один ділять	гр+упа од+ин д+ілять
0.94	voidsoak	Поглинь порожнечу	поглинь порожничу	погл+инь порожн+ичу
0.94	Thogar/E1	Колія один: лісоруб	колія один лісороб	к+олі +я од+ин ліс+ороб
0.94	greenmushroomcoming	Скоро зелений гриб	скоро зелений хриб	ск+оро зал+ений гр+иб
0.94	helpsoak	Допоможи поглинути	допоможе поглинути	допом+ожу погл+инути
0.94	keepjump	Продовжуй стрибати	продовжують стрибати	прод+овжуйсьтриб+ати
0.95	Thogar/C14	Колії один і чотири: гармати	колі є один і чотири гармати	к+олі +є од+ин +і чот+ири гарм+ати
0.95	Thogar/A14	Колії один і чотири: експреси	колі є один і чотири експреси	к+олі +є од+ин +і чот+ири експр+еси
0.95	attackmindfungus	Атакуй гриб розуму	атакує хриб розуму	+а т+ак +уй гр+иб р+озуму
0.95	frontright	Іди вперед праворуч	ідив впередправоруч	+і д+ив пер+ед прав+оруч
0.95	bosstobeam	Веди боса до променя	веди боси до променя	вед+и б+осе д+о пр+оменя
0.95	breaktormentfirst	Розбивай муку першим	розбиваймоку перше	розб+ивай м+уку п+ершам
0.95	breaktormentthird	Розбивай муку третім	розбиваймуку третєм	розб+ивай м+уку тр+етєм
0.95	cleave	Розсічення	прозсічення	прос+ічення
0.95	boundingcleave	Скоро стрибучий розтин	скоро стрибучий розтан	ск+оро стр+ибучий р+озтан
0.96	felinfusion	Вливання скверни на тобі	вливання скварни на тобі	влив+ання скварн+и н+а тоб+і
0.96	chargethroughbomb	Спрямуй ривок крізь бомбу	спрямує ривок крізь бомбу	з прям+уй рив+ок кр+ізь б+омбу
0.96	firecircle	Вогняне коло	вохня николо	в+огн+я н+е к+оло
0.96	myellow	Іди на жовтий	ідина жовтий	ід+и н+а ж+овтей
0.96	runintofire	Біжи у вогонь	біжу у вогон	біж+и +у вог+он
0.96	switchphase	Перемкни фазу	перемкнифазу	пер+емкне ф+азу
0.96	throweyedebuff	Кинь око гравцю з дебафом	кинь вокогравцю з дебафом	кинв+окогр+авц+ю з деб+афом
0.96	attright	Атакуй справа	атакуі справа	+а т+акуй спр+ава
0.96	moveboss	Пересунь боса	пересуньбоси	пере с+унь б+оса
0.96	securityguardcoming	Іде охоронець	і деохоронець	і д+е охор+онець
0.96	yellowyou	Жовтий на тобі	жовти на тобі	ж+овти н+а тоб+і
0.97	attackhulkingterror	Атакуй жахіття	атакую жахіття	+а т+ак+уй жах+іття
0.97	devotionaura	Аура відданості	аура віданості	+а ур+а в+іданості
0.97	silenceyou	Німота на тобі	німо та на тобі	н+імо т+а н+а тоб+і
0.97	1695ukurogg	Укуроґ на човні	у курог на човні	+у кур+ох н+а ч+овні
0.97	gatheritem	Підбери предмет	підбері предмет	під бер+и предм+ет
0.97	mm4	Іди на трикутник	ідина трикутник	ід+и н+а трик+утнок
0.97	flamejet	Вогняний струмінь	вохняний струмін	в+огняний стр+умін
0.97	mpurple	Іди на фіолетовий	і дина фіолетовий	ід+и нафіол+етовий
0.97	attackblood	Атакуй кулю крові	атакує кулю крові	+а т+акуй к+улю кр+ові
0.97	curseyou	Прокляття на тобі	прокляться на тобі	прокл+ятьтя н+а тоб+і
0.97	firecallercoming	Іде закликач вогню	ійде закликач вогню	ід+е з+а клик+ач вогн+ю
0.97	sparktowater	Веди іскру до води	веди і скру до води	вед+и +із кр+у д+о вод+и
0.97	attackdoomfire	Атакуй вогняний дух	атакую вохняний дух	+а т+акуй вогн+яний д+ух
0.97	attackfelblood	Атакуй кулю скверни	а такує кулю скварни	+а т+акуй к+улю скверн+и
0.97	healfull	Відлікуй до повного	відлікую до повного	в+ідліку й д+о п+овного
0.97	movetoyelloworb	Іди до жовтої сфери	ійди до жовтої сфери	ід+и д+о ж+овту +і сф+ери
0.97	riftdispel	Розвіюй біля розлому	розвію біля розлому	прозвію б+іля розл+ому
0.98	movetimebubble	Іди в бульбашку часу	іди в буль башку часу	+і д+ив бульбашку ч+асу
0.98	Thogar/E1A23	Колія один: лісоруб, колії два і три: експреси	колія один лісоруб колії два й три експреси	к+олі +є од+ин ліс+ор+уб колії дв+а +і тр+и експр+еси
0.98	attackdeathcaller	Атакуй закликача смерті	атакуй закликачча смерті	+а т+аку й заклик+ача см+ерті
0.98	kickorstopcast	Збий або зупини закляття	збий або зупини закряття	зб+и аб+о зуп+ини закл+яття
1.00	1695gorak	Ґорак на човні	горак начовні	г+орак н+а ч+овні
1.00	1695uktar	Уктар на човні	уктарна човні	+уктар н+а човні
1.00	Thogar/A1	Колія один: експрес	колія один експрес	к+олі +є од+ин експр+ес
1.00	Thogar/A2	Колія два: експрес	колія два експрес	к+олія дв+а експр+ес
1.00	Thogar/A23	Колії два і три: експреси	коліі два і три експреси	к+олії дв+а +і тр+и експр+еси
1.00	Thogar/A3	Колія три: експрес	коліятри експрес	к+олі+я тр+и експр+ес
1.00	Thogar/A4	Колія чотири: експрес	колія чотири експрес	к+оліє чот+ири експр+ес
1.00	Thogar/AX	Випадковий експрес	випадковий експрес	випадк+овий експр+ес
1.00	Thogar/B1	Колія один: підкріплення	колія один підкріплення	к+олія од+ин підкр+іплення
1.00	Thogar/B1E4	Колія один: підкріплення, колія чотири: лісоруб	колія один підкріплення колія чотири лісоруб	к+олі +я од+ин підкр+іплення колі+я чот+ири ліс+оруб
1.00	Thogar/B2	Колія два: підкріплення	колія два підкріплення	к+олія дв+а підкр+іплення
1.00	Thogar/B23	Колії два і три: підкріплення	колі є два і три підкріплення	к+олії дв+а +і тр+и підкр+іплення
1.00	Thogar/B2A4	Колія два: підкріплення, колія чотири: експрес	колія два підкріплення колія чотири експрес	к+олія дв+а підкр+іплення колі+я чот+ири експр+ес
1.00	Thogar/B2D3	Колія два: підкріплення, колія три: воїни	колія два підкріплення колія три воїни	колія дв+а підкр+іплення колія тр+и в+оїни
1.00	Thogar/B3	Колія три: підкріплення	коліатри підкріплення	к+олі+я тр+и підкр+іплення
1.00	Thogar/B4	Колія чотири: підкріплення	колія чотири підкріплення	к+оліє чот+ири підкр+іплення
1.00	Thogar/BX	Випадкове підкріплення	випадкове підкріплення	випадк+ове підкр+іплення
1.00	Thogar/C1	Колія один: гармата	колія один гармата	к+олі +я од+ин гарм+ата
1.00	Thogar/C1D4	Колія один: гармата, колія чотири: воїни	колія один гармата колія чотири воїни	к+олі +я од+ин гарм+ата колі+я чот+ири в+оїни
1.00	Thogar/C2	Колія два: гармата	колія два гармата	к+олія дв+а гарм+ата
1.00	Thogar/C3	Колія три: гармата	коліятри гармата	к+олі+я тр+и гарм+ата
1.00	Thogar/C4	Колія чотири: гармата	колія чотири гармата	к+олія чот+ири гарм+ата
1.00	Thogar/CX	Випадкова гармата	випадкова гармата	випадк+ова гарм+ата
1.00	Thogar/D1	Колія один: воїни	колія один воїни	к+олі +я од+ин в+оїни
1.00	Thogar/D1C4	Колія один: воїни, колія чотири: гармата	колія один воїни колія чотири гармата	к+олі +є од+ин в+оїни кол+і+я чот+ири гарм+ата
1.00	Thogar/D2	Колія два: воїни	колія два воїни	к+олія дв+а в+оїни
1.00	Thogar/D2B3	Колія два: воїни, колія три: підкріплення	колія два воїни колія три підкріплення	колі+я дв+а в+оїни колі+я тр+и підкр+іплення
1.00	Thogar/D2C4	Колія два: воїни, колія чотири: гармата	колія два воїни колія чотири гармата	кол+ія дв+а в+оїни кол+ія чот+ири гарм+ата
1.00	Thogar/D3	Колія три: воїни	колія три воїни	к+олі +я тр+и в+оїни
1.00	Thogar/D4	Колія чотири: воїни	колія чотири воїни	к+олія чот+ири в+оїни
1.00	Thogar/DX	Випадкові воїни	випадкові воїни	в+ипадк+ові в+оїни
1.00	Thogar/E2	Колія два: лісоруб	колія два лісоруб	к+олія дв+а ліс+о р+об
1.00	Thogar/E23	Колії два і три: лісоруби	колі і два і три лісороби	к+олії дв+а +і тр+и лісор+уби
1.00	Thogar/E4	Колія чотири: лісоруб	колія чотири лісоруб	коліє чот+ири ліс+о р+уб
1.00	Thogar/F	Три випадкові колії	три випадкові колії	тр+и випадк+ові кол+ії
1.00	absorbyou	Поглинання на тобі	поглинання на тобі	поглин+ання н+а тоб+і
1.00	aesoon	Скоро шкода по площі	скоро шкода по площі	ск+оро шк+ода п+о площ+і
1.00	arrowyou	Стріла на тобі	стріла на тобі	стр+іла н+а тоб+і
1.00	artillery	Артилерія	артилерія	артил+ерія
1.00	attackflesheater	Атакуй пожирача плоті	атакуй пожирача плоті	+а т+ак+у й пожир+ача пл+оті
1.00	attacksporeshooter	Атакуй стрільця спор	атакуй стрільця спор	+а т+акуй стр+ільця сп+ор
1.00	attackturret	Атакуй турель	атакуй турель	+а т+акуй тур+ель
1.00	backcenter	Іди назад у центр	ійди назад у центр	ід+и наз+ад +у ц+ентр
1.00	backleft	Іди назад ліворуч	ідиназад ліворуч	ід+и наз+ад лів+оруч
1.00	backright	Іди назад праворуч	ійди назад праворуч	ід+и наз+ад пр+аворуч
1.00	backtowhereyouwere	Повернись на місце	повернись на місце	поверн+ись н+а м+ісце
1.00	backward	Відвернись	відвернись	в+ідверн+ись
1.00	bait	Приманюй зараз	приманнююі зараз	приман+юй з+араз
1.00	banishment	Вигнання на тобі	вихнання на тобі	в+игнання н+а тоб+і
1.00	barrageonway	Обстріл, тікай	обстріл тікай	+обстріл тік+ай
1.00	barrieryou	Бар'єр на тобі	бар'єрна тобі	бар’+єр н+а тоб+і
1.00	beamincoming	Скоро промінь	скоро промінь	ск+оро пр+омінь
1.00	beamyou	Промінь на тобі	промінь на тобі	пр+омінь н+а тоб+і
1.00	behindice	Сховайся за льодом	сховайся за льодом	схов+айся з+а ль+одом
1.00	behindmob	За ворогом	за ворогом	з+а в+орогом
1.00	bigball	Велика куля	велика куля	вел+ика к+уля
1.00	bigmob	Великий ворог	великий ворог	вел+икий в+орог
1.00	bigmobsoon	Скоро великий ворог	скоро великий ворог	ск+оро вел+икий в+орог
1.00	bitenow	Кусай зараз	кусей зараз	к+усай з+араз
1.00	bloodfeast	Кривавий бенкет	кривавий бенкет	крив+авий бенк+ет
1.00	bluemushroomcoming	Скоро синій гриб	скоро синій гриб	ск+оро сині гр+иб
1.00	blueyou	Синій на тобі	синій на тобі	син+і н+а тоб+і
1.00	bombnow	Скоро вибух	скоро вибух	ск+оро в+ибух
1.00	bombrun	Бомба на тобі, тікай	бомба на тобі тікай	б+омба н+а тоб+і тік+ай
1.00	bombsoon	Скоро бомба	скоро бомба	ск+оро б+омба
1.00	bombyou	Бомба на тобі	бомба на тобі	б+омба н+а тоб+і
1.00	bouncer	Викидайло	викидайло	в+икидайло
1.00	breakcoral	Зламай корал	зламай корал	зл+а м+а й кор+ал
1.00	breaklos	Сховайся за перешкоду	сховайся за перешкоду	схов+айся з+а перешк+оду
1.00	breaktormentsecond	Розбивай муку другим	розбиваймуку другим	розб+ивай м+уку др+угим
1.00	breathsoon	Скоро подих	скоро подих	ск+оро п+одих
1.00	bringlighttomob	Неси світло до ворога	неси світло до ворога	нес+и св+ітло д+о в+орога
1.00	bringlighttoshadow	Неси світло до тіней	неси світло до тіней	нес+и св+ітло д+о т+іней
1.00	carefly	Відкидання	відкидання	в+ідкид+ання
1.00	catchballs	Лови кулі	лови кулі	лов+и к+улі
1.00	center	Центр	центр	ц+ентр
1.00	centerleft	Іди в центр ліворуч	іди в центр ліворуч	і д+и в ц+ентр лів+оруч
1.00	centerright	Іди в центр праворуч	іди в центр праворуч	ід+и в ц+ентр прав+оруч
1.00	changemoon	Зміни місяць	змінний місяць	зм+іни м+ісяць
1.00	changemt	Зміна танка	зміна танка	зм+іна т+анка
1.00	changeplatform	Зміни платформу	зміни платформу	зм+іни платф+орму
1.00	changetarget	Зміни ціль	зміни ціль	зм+іни ц+іль
1.00	chargemove	Ривок, рухайся	ривок рухайся	рив+ок р+ухайся
1.00	checkhp	Увага, здоров'я!	увага здоров'я	ув+ага здор+ов’є
1.00	cleaner	Прибиральник	прибиральник	прибир+ельник
1.00	cntnuemove	Продовжуй рух	продовжує рух	прод+овжуй р+ух
1.00	colorchange	Зміна кольору	зміна кольору	зм+іна к+ольору
1.00	colorchangesoon	Скоро зміна кольору	скоро зміна кольору	ск+оро зм+і н+а к+ольору
1.00	com_go	Вперед, вперед, вперед!	вперед вперед вперед	впер+ед впер+ед впер+ед
1.00	count/1	Один	один	од+ин
1.00	count/10	Десять	десті	д+есять
1.00	count/11	Одинадцять	одинадцять	один+адцять
1.00	count/2	Два	два	дв+а
1.00	count/3	Три	три	тр+и
1.00	count/4	Чотири	чотири	чот+ири
1.00	count/5	П'ять		п’+ять
1.00	count/6	Шість	шість	ш+іст
1.00	count/7	Сім	сім	с+ім
1.00	count/8	Вісім	вісі	в+ісім
1.00	count/9	Дев'ять	девят	дев+’ять
1.00	crowdcontrol	Контролюй	контролюй	контр+олій
1.00	crusher	Трощитель	трощитель	трощит+ель
1.00	dawncrystal	Кристал світанку	кристал світанку	крист+ал світ+енку
1.00	defensive	Захист	захист	з+ахист
1.00	demolisher	Руйнівник	руйнівник	тр+уйнівник
1.00	di	Ді	і	д+і
1.00	dispelboss	Знімай з боса	зніймай з боса	знім+ай з б+оса
1.00	dispelnow	Розвіюй	розвіюй	пр+о зв+івй
1.00	dontmove	Не рухайся	не рухайся	н+е р+ух+айся
1.00	dotyou	Дот на тобі	дут на тобі	д+от н+а тоб+і
1.00	dragonnow	Дракон вийшов	дракон вийшов	драк+он в+ийшов
1.00	droptorch	Кинь смолоскип	інцмолоскіп	к+инь смолоск+ип
1.00	dshigh	Багато стаків	багато стаків	баг+ато стак+ів
1.00	east	Схід	схід	сх+ід
1.00	end	Кінець	кінець	кін+ець
1.00	energyhigh	Багато енергії	багато енергії	баг+ато ен+ергі
1.00	enfeeblingroar	Ослаблюючий рик	ослаблюючий рик	осл+аблюючий р+ик
1.00	engineercoming	Іде інженер	іде інженер	і д+и інжен+е
1.00	enteringcombat	Початок бою	початок бою	поч+аток б+ою
1.00	entertainer	Артист	артист	арт+ист
1.00	events/engage	Рушаймо	рушаємо	руш+аймо
1.00	events/wipe	Загинули	загинули	зах+инули
1.00	failed	Провал	провел	пров+ал
1.00	farfromline	Тримайся далі від ліній	тримайся далі від ліній	трим+айся д+алі в+ід л+іній
1.00	fearsoon	Скоро страх	скоро страх	ск+оро стр+ах
1.00	fearyou	Страх на тобі	страх на тобі	стр+ах н+а тоб+і
1.00	findclearvent	Знайди вільний отвір	знайде вільний отвір	зн+айди в+ільний +отвір
1.00	findcrab	Знайди краба	знайде краба	зн+айди кр+аба
1.00	finddragon	Знайди дракона	знайди дракона	зн+айди драк+она
1.00	findhunter	Знайди мисливця	знайди мисливця	зн+айди мосл+ивця
1.00	findmc	Контроль розуму	контроль розуму	контр+оль р+озуму
1.00	findshadow	Сховайся в тіні	сховайся в тіні	схов+айся в т+іні
1.00	findshelter	Знайди укриття	знайде укриття	зн+айди укритт+я
1.00	firerun	Вогонь на тобі, тікай	вогонь на тобі тікай	вог+онь н+а тоб+і тік+ай
1.00	firewall	Стіна вогню	стіна вогню	ст+іна вогн+ю
1.00	fixateyou	Фіксація на тобі	фіксація на тобі	фікс+ація н+а тоб+і
1.00	flamebelcher	Вогнеплюй	вогнеплюй	в+ох н+е пл+юй
1.00	focusedchaosyou	Сфокусований хаос, тікай	сфокусований хаос тікай	сфокус+ований ха+ос тік+ай
1.00	forcenovacoming	Скоро силова хвиля	скоро силова хвиля	ск+оро силов+а хв+иля
1.00	frenzy	Шаленство	шаленство	шал+енство
1.00	frontalyou	Конус на тобі	конус на тобі	к+онус н+а тоб+і
1.00	frontcenter	Іди вперед у центр	іди вперед у центр	+і д+и впер+ед +у ц+ентр
1.00	frontleft	Іди вперед ліворуч	іди вперед ліворуч	+і д+и в пер+ед лів+оруч
1.00	frost	Мороз	мороз	мор+оз
1.00	frostyou	Мороз на тобі	мороз на тобі	м+ороз н+а тоб+і
1.00	gather	Зберіться	зберіться	збер+іться
1.00	gathershare	Збирайтесь разом	збирайтесь разом	збир+айтесь р+азом
1.00	getboned	Візьми кістку	візьми кістку	в+ізьми к+істку
1.00	getinyellowrunes	Стань у жовті руни	стань у жовті руни	ст+ань +у ж+овті р+уни
1.00	getknockedup	Підкидання	підкидання	п+ідкид+ання
1.00	getupwind	Іди проти вітру	ійди проти вітруг	ід+и пр+оти в+ітру
1.00	ghostsoon	Скоро дух	скородух	ск+оро д+ух
1.00	giftofearth	Дар землі	дар землі	д+ар земл+і
1.00	gloomincoming	Скоро морок	скоро морок	ск+оро м+орок
1.00	gloomyou	Морок на тобі	морок на тобі	м+орок н+а тоб+і
1.00	graspyou	Захват на тобі	захват на тобі	з+а хв+ат н+а тоб+і
1.00	greenyou	Зелений на тобі	зелений на тобі	зелен+ий н+а тоб+і
1.00	group1	Група один	група один	гр+упа од+ин
1.00	group2	Група два	група два	гр+упа дв+а
1.00	group3	Група три	група три	гр+упа тр+и
1.00	group4	Група чотири	група чотири	гр+упа чот+ири
1.00	group5	Група п'ять	група п'ять	гр+упа п’+ять
1.00	harmonic	Гармонія	хармонія	гарм+онія
1.00	healall	Лікуй команду	лікуй команду	лік+уй ком+анду
1.00	helpme	Допоможіть	допоможіть	допом+ож+іть
1.00	helpme2	Допоможіть мені	допоможіть мені	допомож+іть мен+і
1.00	holdingdeadlyorb	Тримаєш смертельну сферу	тримаєш смертельну сферу	тр+имаєш смерт+ельну сф+еру
1.00	holdingorb	Тримаєш сферу	підтримаєш сферу	тр+имаєш сф+еру
1.00	holdit	Тримайся	тримайся	тр+имаєся
1.00	iceorbmove	Крижана сфера, рухайся	крижана сфера рухайся	криж+ана сф+ера р+ухайся
1.00	incomingdebuff	Скоро дебаф	скоро дибав	ск+оро деб+аф
1.00	inhalegetinpuddle	Вдих, стань у калюжу	вдих стань у калюжу	вд+их ст+ань +у кал+южу
1.00	inktoshark	Неси чорнило до акули	несить чорнелодо акули	нес+и чорн+ило д+о ак+ули
1.00	interruptbyeye	Збий закляття оком	збий закляття оком	зб+ий з+а кл+яття +оком
1.00	interruptingshout	Крик переривання	крик переривання	кр+ик перерив+ання
1.00	interruptsoon	Готуйся переривати	готуйся переривати	гот+уйся перерив+ати
1.00	jumpinpit	Стрибай у яму	стрибай у яму	стриб+ай +у +яму
1.00	jumpnow	Стрибай зараз	стрибай зараз	стриб+ай з+араз
1.00	justrun	Біжи	біжи	б+ілже
1.00	keepmove	Продовжуй рухатись	продовжує рухатись	прод+овжуй р+ухатись
1.00	kick1r	Збий один	збиє один	зб+ий од+ин
1.00	kick3r	Збий три	збийтри	зб+ий тр+и
1.00	kick4r	Збий чотири	би чотири	зб+ий чот+ири
1.00	kick5r	Збий п'ять	збипят	зб+ий п’+ять
1.00	killbigmob	Вбий великого ворога	вбий великого ворога	вб+ий вел+икого в+орога
1.00	killmob	Вбивай ворогів	вбивай ворогів	вб+ивай ворог+ів
1.00	kite	Відбігай	відбігай	відбіг+ай
1.00	laserrun	Лазер на тобі, тікай	лазер на тобі тікай	л+азир н+а тоб+і тік+ай
1.00	leapyou	Стрибок на тобі	стрибок на тобі	стр+иб+ок н+а тоб+і
1.00	leavecenter	Залиш центр	залишцен	з+алиш ц+ентр
1.00	leavingcombat	Кінець бою	кінець бою	кін+ець б+ою
1.00	left	Ліворуч	ліворуч	лів+оруч
1.00	lightinfusion	Вливання світла на тобі	вливання світла на тобі	влив+ання св+ітла н+а тоб+і
1.00	lightrifts	Розломи світла	розломи світла	розл+оми св+ітла
1.00	lightsoak	Поглинь світло	поглинь світло	погл+ин св+ітло
1.00	lightstorm	Буря блискавок	бурія блискавок	б+уря бл+искавок
1.00	lightyou	Світло на тобі	світло на тобі	св+ітло н+а тоб+і
1.00	lineapart	Лінія, розійдіться	лінія розідіться	л+інія розійд+іться
1.00	linegather	Лінія, зберіться	лінія зберіться	л+інія збер+іться
1.00	linesoon	Скоро лінія	скоролінія	ск+оро л+інія
1.00	lineyou	Лінія на тобі	лінія на тобі	л+інія н+а тоб+і
1.00	lowsanity	Низький розсудок	низький розсудок	н+изький р+озсудок
1.00	markyou	Мітка на тобі	мітка на тобі	н+ітке н+а тоб+і
1.00	mblue	Іди на синій	іди на сеній	ід+и н+а син+ій
1.00	mediumball	Середня куля	середня куля	сер+едня к+уля
1.00	meteorrun	Метеор, тікай!	метеор тікий	мете+ор тік+ай
1.00	mgreen	Іди на зелений	і ди на зелений	ід+и н+а зел+ений
1.00	mm1	Іди на зірку	іди на зірку	ід+и н+а з+ірку
1.00	mm2	Іди на коло	іди на коло	ід+и н+а к+оло
1.00	mm3	Іди на ромб	іди на ромб	ід+и н+а р+омп
1.00	mm5	Іди на місяць	іди на місяць	ід+и н+а м+ісяць
1.00	mm6	Іди на квадрат	іди на квадрат	ід+и н+а квадр+ат
1.00	mm7	Іди на хрест	іди на хрест	ід+и н+а хр+ест
1.00	mm8	Іди на череп	ідина череп	ід+и н+а череп
1.00	mobenough	Енергія повна, тримайся далі від ворогів	енергія повна тримайся далі від ворогів	ен+ергія п+овна тримайся д+алі в+ід ворог+ів
1.00	mobkill	Вбивай ворогів	вбивай ворогів	вб+ивай ворог+ів
1.00	mobsoon	Скоро вороги	скоро вороги	ск+оро ворог+и
1.00	morange	Іди на помаранчевий	і дина помаранчевий	ід+и н+а помар+анчевий
1.00	movecenter	Рухайся в центр	рухайся в це	р+ухайся в ц+ентр
1.00	moveleft	Рухайся ліворуч	рухайся ліворуч	р+ухай ся лів+оруч
1.00	movemelee	Іди в ближній бій	іди в ближній бій	+і д+и в бл+ижній б+ій
1.00	moveright	Рухайся праворуч	рухайся праворуч	р+ухайся прав+оруч
1.00	movesoon	Рухайся	рухайся	р+ухайся
1.00	movetoarrow	Іди до стріли	іди до стріли	ід+и д+о стр+іли
1.00	movetoboss	Іди до боса	іди добоса	ід+и д+о б+оса
1.00	movetofire	Іди до вогню	ійди до вухню	ід+и д+о вогн+ю
1.00	movetoflamethrower	Іди до вогнемета	іди до вогнемета	+і д+идовог н+е мите
1.00	movetofrost	Іди до морозу	ійди до морозу	ід+и д+о мор+озу
1.00	movetojelly	Іди до медузи	ійди до медузи	ід+и д+о м+едузи
1.00	movetomobs	Іди до ворогів	ійди до ворогів	ід+и д+о ворог+ів
1.00	movetopartner	Іди до партнера	іди до партнера	ід+и д+о партн+ера
1.00	movetopillar	Іди до колони	ійди до колони	ід+и д+о кол+они
1.00	movetopool	Іди до калюжі	іди до калюжі	ід+и д+о кал+южі
1.00	movetotank	Іди до танка	іди до танка	ід+и д+о т+анка
1.00	movetotendrils	Іди до щупалець	і ди дощу палець	ід+и д+о щуп+алець
1.00	movetoweb	Іди до павутиння	іди до павутиння	ід+и д+о павут+иння
1.00	negative	Мінус	мінус	н+інос
1.00	newmatrix	Матриця на тобі	матриця на тобі	м+атриться н+а тоб+і
1.00	newportal	Новий портал	новий портал	нов+ий порт+ал
1.00	north	Північ	північ	п+івніч
1.00	northeast	Північний схід	північний схід	півн+ічний сх+ід
1.00	northwest	Північний захід	північний захід	півн+ічний зах+ід
1.00	orangeyou	Помаранчевий на тобі	помаранчевий на тобі	помир+анчивий н+а тоб+і
